@relation movies
@attribute 'MovieId' numeric
@attribute 'Title' string
@attribute 'IsAction' { 0, 1}
@attribute 'IsAdventure' { 0, 1}
@attribute 'IsAnimation' { 0, 1}
@attribute 'IsBiography' { 0, 1}
@attribute 'IsComedy' { 0, 1}
@attribute 'IsCrime' { 0, 1}
@attribute 'IsDrama' { 0, 1}
@attribute 'IsRomance' { 0, 1}
@attribute 'IsFantasy' { 0, 1}
@attribute 'IsHorror' { 0, 1}
@attribute 'IsMistery' { 0, 1}
@attribute 'IsHistory' { 0, 1}
@attribute 'IsFamily' { 0, 1}
@attribute 'IsSport' { 0, 1}
@attribute 'IsWar' { 0, 1}
@attribute 'IsWestern' { 0, 1}
@attribute 'IsSciFi' { 0, 1}
@attribute 'IsThriller' { 0, 1}
@attribute 'Year' numeric
@attribute 'Rating' real
@attribute 'Votes' numeric
@attribute 'CriticScore' numeric
@data
140',Brimstone',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,7.1,13004,44
141',Star Trek',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,8,526324,82
142',Diary of a Wimpy Kid',0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,6.2,34184,56
143',The Big Short',0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,7.8,246360,81
144',Room',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,8.2,224132,86
145',Django Unchained',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,8.4,1039115,81
146',Ah-ga-ssi',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2016,8.1,33418,84
147',The Edge of Seventeen',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.4,47694,77
148',Watchmen',1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009,7.6,410249,56
149',Superbad',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7.6,442082,76
150',Inferno',1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.2,97623,42
151',The BFG',0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2016,6.4,50853,66
152',The Hunger Games',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2012,7.2,735604,68
153',White Girl',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,5.8,4299,65
154',Sicario',1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,7.6,243230,82
155',Twin Peaks: The Missing Pieces',0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2014,8.1,1973,
156',Aliens vs Predator - Requiem',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2007,4.7,97618,29
157',Pacific Rim',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,7,400519,64
158',"Crazy, Stupid, Love."',0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2011,7.4,396714,68
159',Scott Pilgrim vs. the World',1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,7.5,291457,69
160',Hot Fuzz',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7.9,373244,81
161',Mine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2016,6,5926,40
162',Free Fire',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,7,6946,63
163',X-Men: Days of Future Past',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,8,552298,74
164',Jack Reacher: Never Go Back',1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.1,78043,47
165',Casino Royale',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2006,8,495106,80
166',Twilight',0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2008,5.2,361449,56
167',Now You See Me 2',1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.5,156567,46
168',Woman in Gold',0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,7.3,39723,51
